Date,Settlement_Period,total_curtailment_MWh,num_farms_curtailed,Datetime,curtailment_MW,Hour,HourInt,Month,MonthInt,dc_util_pct,dc_headroom_pct,absorbed_Small DC cluster (200 MW)_MWh,flex_avail_Small DC cluster (200 MW)_MW,absorbed_Medium portfolio (500 MW)_MWh,flex_avail_Medium portfolio (500 MW)_MW,absorbed_Large portfolio (1 GW)_MWh,flex_avail_Large portfolio (1 GW)_MW,absorbed_Full UK flex (2 GW)_MWh,flex_avail_Full UK flex (2 GW)_MW
2024-04-01,1,3.5460000000000003,2,2024-04-01 00:00:00,7.0920000000000005,0.0,0,2024-04,4,19.963723989562897,80.0362760104371,3.5460000000000003,80.0362760104371,3.5460000000000003,200.09069002609274,3.5460000000000003,400.1813800521855,3.5460000000000003,800.362760104371
2024-04-01,42,255.984,3,2024-04-01 20:30:00,511.968,20.5,20,2024-04,4,20.529032977204423,79.47096702279558,39.73548351139779,79.47096702279558,99.33870877849448,198.67741755698896,198.67741755698896,397.3548351139779,255.984,794.7096702279558
2024-04-01,43,414.834,6,2024-04-01 21:00:00,829.668,21.0,21,2024-04,4,19.889254134886052,80.11074586511396,40.05537293255698,80.11074586511396,100.13843233139244,200.27686466278487,200.27686466278487,400.55372932556975,400.55372932556975,801.1074586511395
2024-04-01,44,432.834,7,2024-04-01 21:30:00,865.668,21.5,21,2024-04,4,19.889254134886052,80.11074586511396,40.05537293255698,80.11074586511396,100.13843233139244,200.27686466278487,200.27686466278487,400.55372932556975,400.55372932556975,801.1074586511395
2024-04-01,45,403.934,7,2024-04-01 22:00:00,807.8679999999999,22.0,22,2024-04,4,20.242394645252904,79.7576053547471,39.87880267737355,79.7576053547471,99.69700669343388,199.39401338686775,199.39401338686775,398.7880267737355,398.7880267737355,797.576053547471
2024-04-01,46,329.35,5,2024-04-01 22:30:00,658.7,22.5,22,2024-04,4,20.242394645252904,79.7576053547471,39.87880267737355,79.7576053547471,99.69700669343388,199.39401338686775,199.39401338686775,398.7880267737355,329.35,797.576053547471
2024-04-01,47,355.432,7,2024-04-01 23:00:00,710.8639999999999,23.0,23,2024-04,4,20.42368693368122,79.57631306631878,39.78815653315939,79.57631306631878,99.47039133289846,198.94078266579692,198.94078266579692,397.88156533159383,355.43199999999996,795.7631306631877
2024-04-01,48,477.668,8,2024-04-01 23:30:00,955.336,23.5,23,2024-04,4,20.42368693368122,79.57631306631878,39.78815653315939,79.57631306631878,99.47039133289846,198.94078266579692,198.94078266579692,397.88156533159383,397.88156533159383,795.7631306631877
2024-04-02,1,385.282,8,2024-04-02 00:00:00,770.564,0.0,0,2024-04,4,19.963723989562897,80.0362760104371,40.01813800521855,80.0362760104371,100.04534501304637,200.09069002609274,200.09069002609274,400.1813800521855,385.282,800.362760104371
2024-04-02,2,309.616,4,2024-04-02 00:30:00,619.232,0.5,0,2024-04,4,19.963723989562897,80.0362760104371,40.01813800521855,80.0362760104371,100.04534501304637,200.09069002609274,200.09069002609274,400.1813800521855,309.616,800.362760104371
2024-04-02,3,249.834,4,2024-04-02 01:00:00,499.668,1.0,1,2024-04,4,20.194270644784808,79.80572935521519,39.902864677607596,79.80572935521519,99.75716169401899,199.51432338803798,199.51432338803798,399.02864677607596,249.834,798.0572935521519
2024-04-02,4,391.65,6,2024-04-02 01:30:00,783.3,1.5,1,2024-04,4,20.194270644784808,79.80572935521519,39.902864677607596,79.80572935521519,99.75716169401899,199.51432338803798,199.51432338803798,399.02864677607596,391.65,798.0572935521519
2024-04-02,5,346.618,6,2024-04-02 02:00:00,693.236,2.0,2,2024-04,4,19.94126133890743,80.05873866109258,40.02936933054629,80.05873866109258,100.07342332636573,200.14684665273145,200.14684665273145,400.2936933054629,346.618,800.5873866109258
2024-04-02,6,219.23200000000003,4,2024-04-02 02:30:00,438.46400000000006,2.5,2,2024-04,4,19.94126133890743,80.05873866109258,40.02936933054629,80.05873866109258,100.07342332636573,200.14684665273145,200.14684665273145,400.2936933054629,219.23200000000003,800.5873866109258
2024-04-02,7,76.14999999999999,3,2024-04-02 03:00:00,152.29999999999998,3.0,3,2024-04,4,19.84114165053785,80.15885834946215,40.079429174731075,80.15885834946215,76.14999999999999,200.39714587365538,76.14999999999999,400.79429174731075,76.14999999999999,801.5885834946215
2024-04-02,8,12.95,1,2024-04-02 03:30:00,25.9,3.5,3,2024-04,4,19.84114165053785,80.15885834946215,12.95,80.15885834946215,12.95,200.39714587365538,12.95,400.79429174731075,12.95,801.5885834946215
2024-04-02,9,351.782,9,2024-04-02 04:00:00,703.564,4.0,4,2024-04,4,19.59108183539241,80.4089181646076,40.2044590823038,80.4089181646076,100.5111477057595,201.022295411519,201.022295411519,402.044590823038,351.782,804.089181646076
2024-04-02,10,699.5160000000001,9,2024-04-02 04:30:00,1399.0320000000002,4.5,4,2024-04,4,19.59108183539241,80.4089181646076,40.2044590823038,80.4089181646076,100.5111477057595,201.022295411519,201.022295411519,402.044590823038,402.044590823038,804.089181646076
2024-04-02,11,363.966,8,2024-04-02 05:00:00,727.932,5.0,5,2024-04,4,20.62214194293336,79.37785805706665,39.68892902853332,79.37785805706665,99.22232257133331,198.44464514266662,198.44464514266662,396.88929028533323,363.966,793.7785805706665
2024-04-02,32,41.266,2,2024-04-02 15:30:00,82.532,15.5,15,2024-04,4,20.798770182270864,79.20122981772914,39.60061490886457,79.20122981772914,41.266,198.00307454432286,41.266,396.0061490886457,41.266,792.0122981772914
2024-04-02,33,58.602,5,2024-04-02 16:00:00,117.204,16.0,16,2024-04,4,20.858927016380637,79.14107298361937,39.57053649180968,79.14107298361937,58.602,197.85268245904842,58.602,395.70536491809685,58.602,791.4107298361937
2024-04-02,34,231.904,12,2024-04-02 16:30:00,463.808,16.5,16,2024-04,4,20.858927016380637,79.14107298361937,39.57053649180968,79.14107298361937,98.92634122952421,197.85268245904842,197.85268245904842,395.70536491809685,231.904,791.4107298361937
2024-04-02,35,148.658,9,2024-04-02 17:00:00,297.316,17.0,17,2024-04,4,20.60351241310012,79.39648758689988,39.69824379344994,79.39648758689988,99.24560948362485,198.4912189672497,148.658,396.9824379344994,148.658,793.9648758689988
2024-04-02,36,95.786,5,2024-04-02 17:30:00,191.572,17.5,17,2024-04,4,20.60351241310012,79.39648758689988,39.69824379344994,79.39648758689988,95.786,198.4912189672497,95.786,396.9824379344994,95.786,793.9648758689988
2024-04-02,37,252.218,10,2024-04-02 18:00:00,504.436,18.0,18,2024-04,4,21.091639970497777,78.90836002950222,39.45418001475111,78.90836002950222,98.63545003687778,197.27090007375557,197.27090007375557,394.54180014751114,252.218,789.0836002950223
2024-04-02,38,273.0,10,2024-04-02 18:30:00,546.0,18.5,18,2024-04,4,21.091639970497777,78.90836002950222,39.45418001475111,78.90836002950222,98.63545003687778,197.27090007375557,197.27090007375557,394.54180014751114,273.0,789.0836002950223
2024-04-02,39,283.484,10,2024-04-02 19:00:00,566.968,19.0,19,2024-04,4,21.159872805963925,78.84012719403607,39.420063597018036,78.84012719403607,98.5501589925451,197.1003179850902,197.1003179850902,394.2006359701804,283.484,788.4012719403607
2024-04-02,40,283.516,10,2024-04-02 19:30:00,567.032,19.5,19,2024-04,4,21.159872805963925,78.84012719403607,39.420063597018036,78.84012719403607,98.5501589925451,197.1003179850902,197.1003179850902,394.2006359701804,283.516,788.4012719403607
2024-04-02,41,248.73,10,2024-04-02 20:00:00,497.46,20.0,20,2024-04,4,20.529032977204423,79.47096702279558,39.73548351139779,79.47096702279558,99.33870877849448,198.67741755698896,198.67741755698896,397.3548351139779,248.73,794.7096702279558
